N,W_mld,W_sld,K_mld,K_sld,damping,starts,converged_runs,all_converged,max_iterations,max_residual,solution_spread_inf
1,4.0,4.0,1,1,0.4,25,25,True,68,1.6723289419928733e-12,4.197531211502792e-12
1,4.0,4.0,1,3,0.4,25,25,True,83,1.816324868286756e-12,5.3232973584727006e-12
1,4.0,4.0,1,6,0.4,25,25,True,95,1.8820500713445654e-12,6.205258529234925e-12
1,4.0,4.0,3,1,0.4,25,25,True,83,1.816324868286756e-12,5.3232973584727006e-12
1,4.0,4.0,3,3,0.4,25,25,True,110,1.9835244557953047e-12,7.717382288774388e-12
1,4.0,4.0,3,6,0.4,25,25,True,134,2.0479173912235638e-12,9.505396469933203e-12
1,4.0,4.0,6,1,0.4,25,25,True,95,1.8820500713445654e-12,6.205258529234925e-12
1,4.0,4.0,6,3,0.4,25,25,True,134,2.0479173912235638e-12,9.505396469933203e-12
1,4.0,4.0,6,6,0.4,25,25,True,163,2.047140235106326e-12,1.165101348732378e-11
1,4.0,8.0,1,1,0.4,25,25,True,66,1.6325829577112927e-12,3.84969833788773e-12
1,4.0,8.0,1,3,0.4,25,25,True,75,1.755817713444685e-12,4.750200233161195e-12
1,4.0,8.0,1,6,0.4,25,25,True,83,1.7882362257637396e-12,5.311751039016599e-12
1,4.0,8.0,3,1,0.4,25,25,True,73,1.6748824549495112e-12,4.350630966598601e-12
1,4.0,8.0,3,3,0.4,25,25,True,86,1.8348655927979962e-12,5.5140336741033025e-12
1,4.0,8.0,3,6,0.4,25,25,True,96,1.8302026560945706e-12,6.104894367808811e-12
1,4.0,8.0,6,1,0.4,25,25,True,75,1.7414958364270205e-12,4.3078873801505324e-12
1,4.0,8.0,6,3,0.4,25,25,True,88,1.844080443902385e-12,5.317746243349575e-12
1,4.0,8.0,6,6,0.4,25,25,True,98,1.908473379330644e-12,6.449063505442609e-12
1,4.0,16.0,1,1,0.4,25,25,True,64,1.5443202272535927e-12,3.4696689965585392e-12
1,4.0,16.0,1,3,0.4,25,25,True,69,1.6675549829869851e-12,4.1531222905177856e-12
1,4.0,16.0,1,6,0.4,25,25,True,74,1.7305046284832315e-12,4.576450329807358e-12
1,4.0,16.0,3,1,0.4,25,25,True,66,1.6462387009141821e-12,3.892886013545649e-12
1,4.0,16.0,3,3,0.4,25,25,True,73,1.7150725284409418e-12,4.432454403513475e-12
1,4.0,16.0,3,6,0.4,25,25,True,78,1.7421619702417956e-12,4.674594045184222e-12
1,4.0,16.0,6,1,0.4,25,25,True,67,1.6331380692236053e-12,3.827493877395227e-12
1,4.0,16.0,6,3,0.4,25,25,True,73,1.7036372312873027e-12,4.0538683521162966e-12
1,4.0,16.0,6,6,0.4,25,25,True,78,1.7569279364693102e-12,4.7486459209267196e-12
1,8.0,4.0,1,1,0.4,25,25,True,66,1.6325829577112927e-12,3.84969833788773e-12
1,8.0,4.0,1,3,0.4,25,25,True,73,1.6748824549495112e-12,4.350630966598601e-12
1,8.0,4.0,1,6,0.4,25,25,True,75,1.7414958364270205e-12,4.3078873801505324e-12
1,8.0,4.0,3,1,0.4,25,25,True,75,1.755817713444685e-12,4.750200233161195e-12
1,8.0,4.0,3,3,0.4,25,25,True,86,1.8348655927979962e-12,5.5140336741033025e-12
1,8.0,4.0,3,6,0.4,25,25,True,88,1.844080443902385e-12,5.317746243349575e-12
1,8.0,4.0,6,1,0.4,25,25,True,83,1.7882362257637396e-12,5.311751039016599e-12
1,8.0,4.0,6,3,0.4,25,25,True,96,1.8302026560945706e-12,6.104894367808811e-12
1,8.0,4.0,6,6,0.4,25,25,True,98,1.908473379330644e-12,6.449063505442609e-12
1,8.0,8.0,1,1,0.4,25,25,True,63,1.5834000777203983e-12,3.701927653310122e-12
1,8.0,8.0,1,3,0.4,25,25,True,69,1.6255885526561542e-12,4.011457832575616e-12
1,8.0,8.0,1,6,0.4,25,25,True,70,1.6833201499366623e-12,4.2441605785370484e-12
1,8.0,8.0,3,1,0.4,25,25,True,69,1.6255885526561542e-12,4.011457832575616e-12
1,8.0,8.0,3,3,0.4,25,25,True,75,1.7500445537166343e-12,4.804490139065365e-12
1,8.0,8.0,3,6,0.4,25,25,True,78,1.7696955012524995e-12,4.9680259905926505e-12
1,8.0,8.0,6,1,0.4,25,25,True,70,1.6833201499366623e-12,4.2441605785370484e-12
1,8.0,8.0,6,3,0.4,25,25,True,78,1.7696955012524995e-12,4.9680259905926505e-12
1,8.0,8.0,6,6,0.4,25,25,True,80,1.7655876760613864e-12,5.076383757796066e-12
1,8.0,16.0,1,1,0.4,25,25,True,61,1.5333290193098037e-12,3.4198199827528697e-12
