L, BAW , tested_points, success_rate, max_fp_iterations, active_set_passes_max, execution_time_ms_p50, execution_time_ms_p95
2,  256,          1000,          1.0,               119,                     2,              0.1145  ,              0.161275
2, 1024,          1000,          1.0,               119,                     2,              0.106858,              0.150272
3,  256,          1000,          1.0,               119,                     3,              0.155111,              0.218436
3, 1024,          1000,          1.0,               119,                     3,              0.154805,              0.221746
4,  256,          1000,          1.0,               119,                     4,              0.194127,              0.270053
4, 1024,          1000,          1.0,               119,                     4,              0.206162,              0.286957
5,  256,          1000,          1.0,               119,                     5,              0.252398,              0.336809
5, 1024,          1000,          1.0,               119,                     4,              0.240149,              0.346641
6,  256,          1000,          1.0,               119,                     5,              0.278357,              0.370798
6, 1024,          1000,          1.0,               119,                     4,              0.302572,              0.407874
7,  256,          1000,          1.0,               119,                     5,              0.326571,              0.43097
7, 1024,          1000,          1.0,               119,                     4,              0.322794,              0.421727
8,  256,          1000,          1.0,               119,                     6,              0.378173,              0.509164
8, 1024,          1000,          1.0,               119,                     5,              0.373488,              0.48757
