bw0, bw1, mcs0, mcs1, nss, R0        , R1         , nsld0, nsld1, ampdunumsld0, ampdunumsld1, fixedPER0, fixedPER1, bawsize, maxampdunum0, maxampdunum1, D0        , D1        , D_total    , T0          , T1          , Variance  , p0      , p1      , alpha0  , alpha1  , lambda0 , lambda1 , D_slo      , lambda_slo, exhaustive_maxampdunum0, exhaustive_maxampdunum1, exhaustive_same_allocation, exhaustive_variance_gap, exhaustive_normalized_variance_gap, exhaustive_throughput_gap_Mbps
 40,  80,    4,   10,   2, 206.470590, 1080.882354,     4,     1,           24,          232,  0.000000,  0.000000,     256,            0,          256,   0.000000, 492.252170,  492.252170,     0.000000,  6240.703831,   0.000000, 0.728464, 0.895379, 0.000000, 0.015395, 0.000000, 0.001442,  492.252170,   0.001442,                       0,                     256,                          1,                       0,                                  0,                              0
 20,  80,    9,   10,   2, 229.411766, 1080.882354,     4,     1,           24,          232,  0.000000,  0.000000,     256,            0,          256,   0.000000, 492.252170,  492.252170,     0.000000,  6240.703831,   0.000000, 0.728464, 0.895379, 0.000000, 0.015395, 0.000000, 0.001442,  492.252170,   0.001442,                       0,                     256,                          1,                       0,                                  0,                              0
 40,  80,    5,   10,   2, 275.294118, 1080.882354,     4,     1,           24,          232,  0.000000,  0.000000,     256,            9,          247,  17.530269, 483.051683,  500.581952,  6160.772613,  6135.989382, 153.552130, 0.728464, 0.895379, 0.026335, 0.015658, 0.001461, 0.001467,  492.252170,   0.001442,                       9,                     247,                          1,                       0,                                  0,                              0
 40,  80,    6,   10,   2, 309.705884, 1080.882354,     4,     1,           24,          232,  0.000000,  0.000000,     256,           19,          237,  37.786644, 472.453503,  510.240147,  6033.878007,  6019.639994,  50.680251, 0.728464, 0.895379, 0.026889, 0.015961, 0.001492, 0.001495,  492.252170,   0.001442,                      19,                     237,                          1,                       0,                                  0,                              0
 40,  80,    7,   10,   2, 344.117648, 1080.882354,     4,     1,           24,          232,  0.000000,  0.000000,     256,           28,          228,  56.989560, 462.558654,  519.548214,  5895.816709,  5914.925545,  91.286908, 0.728464, 0.895379, 0.027519, 0.016243, 0.001527, 0.001522,  492.252170,   0.001442,                      28,                     228,                          1,                       0,                                  0,                              0
 40,  80,    8,   10,   2, 412.941178, 1080.882354,     4,     1,           24,          232,  0.000000,  0.000000,     256,           46,          210,  97.034050, 441.679341,  538.713391,  5688.724739,  5705.496648,  70.324226, 0.728464, 0.895379, 0.028520, 0.016839, 0.001582, 0.001577,  492.252170,   0.001442,                      46,                     210,                          1,                       0,                                  0,                              0
 40,  80,    9,   10,   2, 458.823530, 1080.882354,     4,     1,           24,          232,  0.000000,  0.000000,     256,           58,          198, 124.615528, 426.886875,  551.502402,  5585.178767,  5565.877382,  93.135863, 0.728464, 0.895379, 0.029049, 0.017262, 0.001611, 0.001617,  492.252170,   0.001442,                      58,                     198,                          1,                       0,                                  0,                              0
 40,  80,   10,   10,   2, 516.176472, 1080.882354,     4,     1,           24,          232,  0.000000,  0.000000,     256,           70,          186, 155.309893, 411.333179,  566.643072,  5408.541496,  5426.258117,  78.469663, 0.728464, 0.895379, 0.029998, 0.017706, 0.001664, 0.001659,  492.252170,   0.001442,                      70,                     186,                          1,                       0,                                  0,                              0
 40,  80,   11,   10,   2, 573.529412, 1080.882354,     4,     1,           24,          232,  0.000000,  0.000000,     256,           83,          173, 188.309708, 393.554210,  581.863918,  5289.159079,  5275.003913,  50.092176, 0.728464, 0.895379, 0.030675, 0.018214, 0.001702, 0.001706,  492.252170,   0.001442,                      83,                     173,                          1,                       0,                                  0,                              0
 40,  80,    4,   10,   2, 206.470590, 1080.882354,     4,     1,           96,          928,  0.000000,  0.000000,    1024,            0,         1024,   0.000000, 526.517532,  526.517532,     0.000000, 23338.254181,   0.000000, 0.728464, 0.895379, 0.000000, 0.004117, 0.000000, 0.000386,  526.517532,   0.000386,                       0,                    1024,                          1,                       0,                                  0,                              0
 20,  80,    9,   10,   2, 229.411766, 1080.882354,     4,     1,           96,          928,  0.000000,  0.000000,    1024,           11,         1013,   5.695191, 523.733678,  529.428869, 23177.449420, 23210.269855, 269.295245, 0.728464, 0.895379, 0.007000, 0.004139, 0.000388, 0.000388,  526.517532,   0.000386,                      11,                    1013,                          1,                       0,                                  0,                              0
 40,  80,    5,   10,   2, 275.294118, 1080.882354,     4,     1,           96,          928,  0.000000,  0.000000,    1024,           75,          949,  40.013838, 506.907578,  546.921416, 22492.218746, 22465.633774, 176.690178, 0.728464, 0.895379, 0.007213, 0.004277, 0.000400, 0.000401,  526.517532,   0.000386,                      75,                     949,                          1,                       0,                                  0,                              0
 40,  80,    6,   10,   2, 309.705884, 1080.882354,     4,     1,           96,          928,  0.000000,  0.000000,    1024,          119,          905,  65.059586, 494.677514,  559.737100, 21949.109832, 21953.696468,   5.259309, 0.728464, 0.895379, 0.007392, 0.004376, 0.000410, 0.000410,  526.517532,   0.000386,                     119,                     905,                          1,                       0,                                  0,                              0
 40,  80,    7,   10,   2, 344.117648, 1080.882354,     4,     1,           96,          928,  0.000000,  0.000000,    1024,          161,          863,  90.105504, 482.459166,  572.564669, 21441.531539, 21465.029040, 138.033148, 0.728464, 0.895379, 0.007567, 0.004476, 0.000420, 0.000419,  526.517532,   0.000386,                     161,                     863,                          1,                       0,                                  0,                              0
